              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    4.00  344  1.34  14 12 74  2.60 2.94 2.94
    4.00    0  0.00  13 11 76  2.55 2.92 2.93
    0.00    0  0.00  13 11 76  2.55 2.92 2.93
    7.00    2  0.01  13 11 76  2.55 2.92 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   95.42 1026 95.57  16 12 73  2.43 2.89 2.92
  117.73  842 96.80  16 12 72  2.43 2.89 2.92
    4.00    0  0.00  13 11 76  2.39 2.87 2.91
 1024.00   24 24.00  13 11 76  2.39 2.87 2.91
  229.56  240 53.80  13 11 76  2.39 2.87 2.91
  179.80  527 92.52  14 12 74  2.28 2.84 2.90
   75.70 1354 100.11  17 13 70  2.28 2.84 2.90
    0.00    0  0.00  13 11 76  2.26 2.83 2.90
    0.00    0  0.00  13 11 76  2.26 2.83 2.90
    0.00    0  0.00  13 11 76  2.26 2.83 2.90
   26.67    1  0.04  14 13 73  2.16 2.80 2.89
  105.13 1876 192.58  20 14 66  2.16 2.80 2.89
    4.00    3  0.01  15 12 73  2.30 2.82 2.89
    0.00    0  0.00  15 11 74  2.30 2.82 2.89
   16.00    0  0.01  15 12 73  2.30 2.82 2.89
    0.00    0  0.00  13 11 75  2.36 2.82 2.89
  105.22 1870 192.14  18 13 69  2.36 2.82 2.89
    0.00    0  0.00  13 11 76  2.41 2.82 2.89
  910.22   27 24.00  13 11 76  2.41 2.82 2.89
  250.42  219 53.67  13 11 76  2.41 2.82 2.89
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  2.54 2.84 2.90
  105.50 1869 192.57  18 13 69  2.54 2.84 2.90
    5.23    6  0.03  13 11 75  2.89 2.91 2.92
    0.00    0  0.00  13 11 76  2.89 2.91 2.92
    0.00    0  0.00  13 11 76  2.89 2.91 2.92
    0.00    0  0.00  13 11 76  2.74 2.88 2.91
  105.49 1869 192.56  17 12 71  2.74 2.88 2.91
    4.00    3  0.01  14 12 74  2.68 2.86 2.91
    0.00    0  0.00  13 11 76  2.68 2.86 2.91
   16.00    0  0.01  13 11 75  2.68 2.86 2.91
    0.00    0  0.00  13 11 76  2.71 2.87 2.91
  137.59 1398 187.88  15 12 72  2.71 2.87 2.91
   10.18  471  4.68  16 12 73  2.73 2.87 2.91
 1024.00   24 23.97  13 11 76  2.73 2.87 2.91
  242.85  227 53.72  13 12 75  2.73 2.87 2.91
    0.00    0  0.00  13 11 76  2.83 2.89 2.91
  141.91  677 93.88  15 12 73  2.83 2.89 2.91
   84.71 1193 98.71  17 13 71  2.77 2.87 2.91
    0.00    0  0.00  13 11 76  2.77 2.87 2.91
    0.00    0  0.00  13 11 76  2.77 2.87 2.91
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  2.78 2.87 2.91
    4.00   21  0.08  13 11 75  2.78 2.87 2.91
  105.24 1874 192.56  17 12 70  2.88 2.89 2.91
    0.00    0  0.00  13 11 76  2.88 2.89 2.91
    7.00    2  0.01  13 11 76  2.88 2.89 2.91
    0.00    0  0.00  13 11 76  2.73 2.86 2.90
    4.00    1  0.01  13 11 76  2.73 2.86 2.90
  105.49 1869 192.56  18 13 69  2.91 2.90 2.92
  910.22   27 23.98  12 11 76  2.91 2.90 2.92
  213.14  258 53.78  13 11 76  2.91 2.90 2.92
    0.00    0  0.00  13 11 76  2.76 2.86 2.90
   16.00    0  0.01  13 11 76  2.76 2.86 2.90
  105.52 1869 192.56  18 13 69  2.62 2.83 2.89
    4.00    3  0.01  13 11 76  2.62 2.83 2.89
    0.00    0  0.00  13 11 76  2.62 2.83 2.89
    0.00    0  0.00  13 11 76  3.61 3.03 2.96
    0.00    0  0.00  13 11 76  3.61 3.03 2.96
  105.52 1869 192.54  17 12 70  3.64 3.05 2.97
    4.00    3  0.01  13 11 75  3.64 3.05 2.97
    6.40    2  0.02  13 11 75  3.64 3.05 2.97
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  12 11 77  3.43 3.02 2.96
    0.00    0  0.00  13 11 76  3.43 3.02 2.96
  140.62 1367 187.76  16 13 71  3.39 3.02 2.96
   56.02  525 28.73  17 13 71  3.39 3.02 2.96
  243.65  226 53.76  14 11 75  3.39 3.02 2.96
    0.00    0  0.00  15 11 74  3.52 3.05 2.97
    5.33    4  0.02  15 12 74  3.52 3.05 2.97
  123.54  787 94.99  17 13 70  3.32 3.01 2.96
   90.55 1107 97.87  18 13 69  3.32 3.01 2.96
    4.31   83  0.35  15 12 72  3.32 3.01 2.96
    0.00    0  0.00  14 12 73  3.45 3.05 2.97
    4.00    4  0.02  14 12 73  3.45 3.05 2.97
   92.17  361 32.53  15 13 72  3.26 3.01 2.96
  107.08 1531 160.11  19 14 67  3.26 3.01 2.96
    8.00    3  0.02  14 13 73  3.26 3.01 2.96
   14.48   25  0.35  15 13 72  3.00 2.96 2.94
    4.81   79  0.37  15 13 72  3.00 2.96 2.94
   16.00    0  0.01  15 12 73  2.84 2.93 2.93
  123.15 1968 236.62  19 14 67  2.84 2.93 2.93
  147.42  236 34.02  14 12 74  2.84 2.93 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.25    8  0.06  15 12 73  2.77 2.91 2.92
   19.20    2  0.05  14 12 74  2.77 2.91 2.92
    6.29    3  0.02  13 11 76  2.87 2.93 2.93
  104.77 1883 192.68  18 13 69  2.87 2.93 2.93
    4.00    1  0.00  13 11 76  2.87 2.93 2.93
    0.00    0  0.00  13 11 76  2.88 2.93 2.93
    0.00    0  0.00  13 11 76  2.88 2.93 2.93
    0.00    0  0.00  13 11 76  2.89 2.93 2.93
  105.52 1865 192.21  18 12 70  2.89 2.93 2.93
    5.71    3  0.02  13 12 75  2.89 2.93 2.93
    0.00    0  0.00  13 11 76  2.74 2.90 2.92
    0.00    0  0.00  13 11 76  2.74 2.90 2.92
    0.00    0  0.00  13 11 76  2.84 2.92 2.92
  115.80 1654 187.01  16 12 72  2.84 2.92 2.92
  172.27  494 83.04  15 12 73  2.84 2.92 2.92
    0.00    0  0.00  13 11 76  2.61 2.87 2.91
    6.22    9  0.05  13 12 75  2.61 2.87 2.91
    4.00    1  0.00  13 11 76  2.72 2.89 2.91
  138.14 1361 183.63  15 12 73  2.72 2.89 2.91
   17.88  513  8.96  16 12 72  2.72 2.89 2.91
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    4.00   10  0.04  13 11 76  2.74 2.89 2.91
    8.00    1  0.01  15 13 73  2.74 2.89 2.91
    0.00    0  0.00  15 11 74  2.76 2.89 2.91
  121.24  643 76.19  16 13 71  2.76 2.89 2.91
   96.00 1239 116.14  19 14 67  2.76 2.89 2.91
   16.00    0  0.01  14 12 74  3.26 2.99 2.95
    0.00    0  0.00  14 12 74  3.26 2.99 2.95
    8.67    3  0.03  13 11 76  3.48 3.04 2.97
  596.92   43 25.35  13 11 75  3.48 3.04 2.97
  118.99 2109 245.01  18 13 70  3.48 3.04 2.97
    7.43   17  0.13  13 11 76  3.52 3.06 2.97
   16.00    0  0.01  13 11 76  3.52 3.06 2.97
    0.00    0  0.00  13 11 76  3.32 3.02 2.96
    0.00    0  0.00  13 11 76  3.32 3.02 2.96
  105.38 1871 192.53  18 13 69  3.32 3.02 2.96
    0.00    0  0.00  13 11 76  3.21 3.01 2.95
    0.00    0  0.00  13 11 76  3.21 3.01 2.95
    0.00    0  0.00  13 11 76  3.28 3.02 2.96
    0.00    0  0.00  13 11 76  3.28 3.02 2.96
  105.38 1871 192.57  18 13 69  3.28 3.02 2.96
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  3.17 3.01 2.95
    0.00    0  0.00  13 11 76  3.17 3.01 2.95
    0.00    0  0.00  13 11 76  3.08 2.99 2.95
 1003.18   24 24.00  13 11 75  3.08 2.99 2.95
  119.84 2105 246.38  18 13 69  3.08 2.99 2.95
    4.00    3  0.01  13 12 75  3.15 3.01 2.95
   16.00    0  0.01  13 12 75  3.15 3.01 2.95
    6.67    3  0.02  13 11 76  3.14 3.00 2.95
    0.00    0  0.00  13 11 76  3.14 3.00 2.95
  105.14 1875 192.54  19 13 68  3.14 3.00 2.95
   10.00   12  0.12  15 13 73  3.13 3.00 2.95
   16.00    3  0.05  14 12 74  3.13 3.00 2.95
   16.00    3  0.05  14 12 74  3.12 3.00 2.95
   16.00    1  0.02  14 11 75  3.12 3.00 2.95
  108.99 1793 190.82  18 13 69  3.12 3.00 2.95
   19.92   78  1.51  15 12 73  3.27 3.04 2.97
    0.00    0  0.00  13 11 76  3.27 3.04 2.97
   16.00    0  0.01  13 11 75  3.17 3.02 2.96
  893.67   27 24.00  13 11 75  3.17 3.02 2.96
  150.87 1641 241.80  16 12 72  3.17 3.02 2.96
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   10.17  472  4.69  17 13 69  3.23 3.04 2.97
   16.00    0  0.01  15 12 73  3.23 3.04 2.97
    0.00    0  0.00  14 11 74  3.13 3.02 2.96
    0.00    0  0.00  14 11 75  3.13 3.02 2.96
   97.69 1023 97.57  16 12 72  3.13 3.02 2.96
  114.52  849 94.99  18 12 70  2.96 2.98 2.95
   10.90   98  1.04  18 12 70  2.96 2.98 2.95
    8.33  139  1.13  30 14 57  3.29 3.05 2.97
  430.88   76 32.18  30 14 57  3.29 3.05 2.97
  144.79  613 86.72  23 13 64  3.29 3.05 2.97
   93.07 1335 121.36  24 14 62  3.42 3.08 2.98
   20.00    2  0.04  21 13 66  3.42 3.08 2.98
    4.00    3  0.01  17 12 71  3.23 3.05 2.97
  811.69   13 10.30  17 12 71  3.23 3.05 2.97
   83.47  350 28.52  19 13 69  3.23 3.05 2.97
  106.64 1779 185.23  23 14 63  3.37 3.08 2.98
   16.99  238  3.95  22 14 64  3.37 3.08 2.98
    0.00    0  0.00  19 12 69  3.10 3.03 2.97
    4.41   29  0.12  15 12 74  3.10 3.03 2.97
  317.64   19  6.05  19 12 68  3.10 3.03 2.97
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  108.45 1915 202.84  23 14 63  3.25 3.06 2.98
   17.20    5  0.08  23 13 64  3.25 3.06 2.98
   16.00    0  0.01  21 12 67  3.39 3.09 2.99
    6.86    7  0.05  22 13 65  3.39 3.09 2.99
  688.00    4  3.02  21 12 67  3.39 3.09 2.99
  111.99 1932 211.29  22 14 64  3.28 3.07 2.98
    0.00    0  0.00  20 13 67  3.28 3.07 2.98
   40.80    5  0.20  20 12 67  3.18 3.06 2.98
   81.53  159 12.70  19 12 68  3.18 3.06 2.98
  182.91  159 28.36  17 12 70  3.18 3.06 2.98
  104.61 1883 192.37  19 13 68  3.16 3.06 2.98
   21.33    1  0.03  15 12 74  3.16 3.06 2.98
    5.60    5  0.03  15 12 74  3.07 3.04 2.97
    4.00    0  0.00  18 13 69  3.07 3.04 2.97
    0.00    0  0.00  16 12 72  3.07 3.04 2.97
  106.99 1901 198.64  24 15 62  2.98 3.02 2.97
    6.13   90  0.54  17 12 70  2.98 3.02 2.97
    0.00    0  0.00  16 12 71  2.98 3.02 2.97
    0.00    0  0.00  14 12 74  2.98 3.02 2.97
   16.00    0  0.01  16 12 72  2.98 3.02 2.97
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  115.42 1911 215.36  23 14 63  2.91 3.00 2.96
    0.00    0  0.00  15 12 73  2.91 3.00 2.96
    0.00    0  0.00  14 11 75  2.83 2.99 2.95
  812.57   21 16.66  14 11 74  2.83 2.99 2.95
  171.74  191 32.11  17 12 71  2.83 2.99 2.95
  105.33 1872 192.54  23 14 64  2.69 2.95 2.94
   10.46    6  0.07  16 13 71  2.69 2.95 2.94
    4.00    2  0.01  18 12 70  2.63 2.94 2.94
    0.00    0  0.00  17 12 70  2.63 2.94 2.94
   16.00    0  0.01  18 12 69  2.63 2.94 2.94
  109.91 1824 195.80  23 14 63  2.42 2.89 2.92
   10.26  114  1.14  18 13 69  2.42 2.89 2.92
   16.00    1  0.02  17 12 70  2.39 2.87 2.91
    8.00    5  0.04  15 12 74  2.39 2.87 2.91
    7.00    2  0.01  15 12 74  2.39 2.87 2.91
  137.84 1611 216.88  18 13 69  2.27 2.84 2.90
    4.02  327  1.28  17 12 71  2.27 2.84 2.90
    0.00    0  0.00  16 12 71  2.73 2.93 2.93
  215.21  190 39.83  15 12 72  2.73 2.93 2.93
   93.07   95  8.63  14 11 75  2.73 2.93 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  139.29 1381 187.82  17 12 71  2.59 2.89 2.92
    9.83  503  4.83  16 12 71  2.59 2.89 2.92
   10.00    1  0.01  14 12 74  2.55 2.88 2.91
    6.77    6  0.04  13 12 76  2.55 2.88 2.91
    0.00    0  0.00  12 11 77  2.55 2.88 2.91
  102.36 1049 104.87  14 12 73  2.50 2.86 2.91
  114.94  864 97.01  15 13 72  2.50 2.86 2.91
    6.05   21  0.13  12 12 76  2.54 2.87 2.91
    5.87    7  0.04  12 12 76  2.54 2.87 2.91
    8.80    2  0.02  12 12 76  2.54 2.87 2.91
  143.63  538 75.41  15 13 72  2.74 2.90 2.92
  107.16 1404 146.93  19 14 67  2.74 2.90 2.92
    0.00    0  0.00  12 12 76  2.68 2.89 2.92
  256.49  152 38.19  12 12 75  2.68 2.89 2.92
    9.08   77  0.69  12 12 76  2.68 2.89 2.92
   10.00    1  0.01  13 12 75  2.94 2.94 2.93
  102.87 1919 192.82  17 14 69  2.94 2.94 2.93
   11.09   22  0.24  13 12 76  2.95 2.94 2.93
    0.00    0  0.00  14 12 75  2.95 2.94 2.93
    0.00    0  0.00  17 13 70  2.95 2.94 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   16.00    6  0.09  19 12 69  3.03 2.96 2.94
  105.11 1876 192.55  19 13 68  3.03 2.96 2.94
    4.00    2  0.01  13 11 75  2.95 2.94 2.93
    6.00    4  0.02  14 11 75  2.95 2.94 2.93
   16.00    0  0.01  13 11 75  2.95 2.94 2.93
    0.00    0  0.00  14 11 75  2.95 2.94 2.93
  105.22 1870 192.12  19 13 68  2.95 2.94 2.93
    0.00    0  0.00  14 12 75  2.88 2.93 2.93
  344.72  229 77.20  14 12 74  2.88 2.93 2.93
   11.49   78  0.88  14 12 74  2.88 2.93 2.93
    4.00    1  0.01  14 12 74  2.89 2.93 2.93
  105.08 1872 192.12  19 13 68  2.89 2.93 2.93
    0.00    0  0.00  14 12 75  3.06 2.96 2.94
    0.00    0  0.00  14 12 74  3.06 2.96 2.94
    0.00    0  0.00  14 12 74  3.06 2.96 2.94
    0.00    0  0.00  14 11 75  3.37 3.03 2.96
  105.00 1878 192.59  19 13 67  3.37 3.03 2.96
    0.00    0  0.00  14 11 75  3.34 3.03 2.96
    0.00    0  0.00  14 11 75  3.34 3.03 2.96
   16.00    0  0.01  14 12 75  3.34 3.03 2.96
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   16.00    0  0.01  14 11 75  3.15 2.99 2.95
  105.17 1873 192.36  18 12 69  3.15 2.99 2.95
    4.00    3  0.01  14 12 74  2.98 2.96 2.94
  319.49  249 77.67  14 12 74  2.98 2.96 2.94
   16.00   15  0.24  14 11 74  2.98 2.96 2.94
    4.00    5  0.02  14 12 75  2.98 2.96 2.94
  104.95 1879 192.57  18 13 69  2.98 2.96 2.94
    4.00    7  0.03  15 12 73  2.98 2.96 2.94
    0.00    0  0.00  14 11 75  2.98 2.96 2.94
    0.00    0  0.00  14 12 75  2.98 2.96 2.94
    0.00    0  0.00  13 11 75  2.82 2.93 2.93
  136.69 1408 187.92  17 12 70  2.82 2.93 2.93
   10.16  472  4.68  16 12 72  2.68 2.90 2.92
    0.00    0  0.00  14 11 75  2.68 2.90 2.92
   16.00    0  0.01  14 12 75  2.68 2.90 2.92
    0.00    0  0.00  14 11 75  2.86 2.93 2.93
   90.54 1086 96.00  16 12 72  2.86 2.93 2.93
  124.83  792 96.58  16 12 72  2.95 2.95 2.93
  317.92  250 77.60  13 12 75  2.95 2.95 2.93
   16.00   15  0.24  13 11 75  2.95 2.95 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    4.00    1  0.01  14 12 75  2.96 2.95 2.93
  125.90  769 94.55  15 12 72  2.96 2.95 2.93
   90.24 1110 97.84  17 12 71  2.96 2.95 2.93
   15.37  587  8.81  15 12 73  2.96 2.95 2.93
    0.00    0  0.00  14 11 75  2.96 2.95 2.93
    0.00    0  0.00  14 11 75  2.96 2.95 2.93
  249.73  332 80.92  14 12 74  2.96 2.95 2.93
   70.97 1613 111.78  18 13 69  2.89 2.93 2.93
    0.00    0  0.00  14 11 75  2.89 2.93 2.93
   10.00    1  0.01  14 12 75  2.89 2.93 2.93
    0.00    0  0.00  14 11 75  2.81 2.92 2.92
    0.00    0  0.00  14 12 75  2.81 2.92 2.92
  105.11 1876 192.59  19 13 69  2.83 2.92 2.92
  290.95  273 77.70  13 11 76  2.83 2.92 2.92
   12.65   21  0.26  13 11 76  2.83 2.92 2.92
    5.56   32  0.17  13 11 76  2.76 2.90 2.92
   16.00    0  0.01  13 12 75  2.76 2.90 2.92
  104.92 1880 192.60  18 13 69  2.70 2.89 2.91
    0.00    0  0.00  13 11 76  2.70 2.89 2.91
   16.00    0  0.01  13 11 76  2.70 2.89 2.91
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  2.48 2.84 2.89
    0.00    0  0.00  13 11 76  2.48 2.84 2.89
  105.17 1871 192.11  18 13 69  2.45 2.83 2.89
    0.00    0  0.00  13 11 76  2.45 2.83 2.89
   16.00    0  0.01  13 11 76  2.45 2.83 2.89
    0.00    0  0.00  13 11 76  2.33 2.79 2.88
  212.33   79 16.38  15 11 73  2.33 2.79 2.88
  104.08 1932 196.33  21 15 64  2.54 2.83 2.89
  277.54  287 77.91  15 12 72  2.54 2.83 2.89
   16.00   15  0.24  15 12 74  2.54 2.83 2.89
    5.95   43  0.25  14 12 74  2.74 2.87 2.90
    8.31    6  0.05  14 13 73  2.74 2.87 2.90
  105.01 1878 192.60  18 13 69  3.08 2.94 2.93
    9.23    6  0.06  16 13 72  3.08 2.94 2.93
    0.00    0  0.00  15 12 73  3.08 2.94 2.93
    0.00    0  0.00  15 12 73  3.07 2.94 2.93
    0.00    0  0.00  15 12 74  3.07 2.94 2.93
  105.22 1874 192.57  19 13 68  3.23 2.97 2.94
    4.00    3  0.01  15 12 73  3.23 2.97 2.94
   16.00    0  0.01  13 11 76  3.23 2.97 2.94
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  15 12 74  3.13 2.95 2.93
    0.00    0  0.00  14 11 75  3.13 2.95 2.93
  105.28 1869 192.11  20 13 67  3.12 2.95 2.93
  310.21  256 77.53  16 12 72  3.12 2.95 2.93
   16.00   15  0.24  14 11 75  3.12 2.95 2.93
    0.00    0  0.00  13 11 76  3.03 2.94 2.93
    4.67    9  0.04  13 11 75  3.03 2.94 2.93
  131.12 1488 190.51  16 12 72  3.11 2.96 2.93
    5.46  386  2.06  15 12 73  3.11 2.96 2.93
    0.00    0  0.00  13 11 76  3.11 2.96 2.93
    0.00    0  0.00  13 11 76  2.94 2.92 2.92
    0.00    0  0.00  14 11 76  2.94 2.92 2.92
  110.50 1258 135.71  17 14 70  2.86 2.91 2.91
   76.12  773 57.48  19 15 66  2.86 2.91 2.91
   16.00    0  0.01  15 13 73  2.86 2.91 2.91
    0.00    0  0.00  14 13 73  3.03 2.94 2.93
    0.00    0  0.00  13 11 76  3.03 2.94 2.93
  136.21  799 106.26  15 12 73  3.03 2.94 2.93
  123.85 1356 164.02  17 13 70  3.03 2.94 2.93
   16.46   17  0.28  13 12 75  3.03 2.94 2.93
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    4.00    2  0.01  14 12 74  2.79 2.89 2.91
   20.00    2  0.04  14 13 73  2.79 2.89 2.91
   10.64  479  4.98  15 13 72  2.80 2.90 2.91
  129.40 1494 188.80  18 13 69  2.80 2.90 2.91
   33.02   23  0.76  14 12 73  2.80 2.90 2.91
   28.31    6  0.18  14 12 74  2.74 2.88 2.90
   10.00    2  0.02  14 12 74  2.74 2.88 2.90
    0.00    0  0.00  13 11 76  2.60 2.85 2.89
  104.93 1879 192.59  19 14 67  2.60 2.85 2.89
   16.00    0  0.01  15 13 72  2.60 2.85 2.89
    0.00    0  0.00  14 12 74  2.47 2.82 2.88
    0.00    0  0.00  14 13 73  2.47 2.82 2.88
    0.00    0  0.00  14 13 73  2.43 2.80 2.88
  123.67 2240 270.53  19 14 67  2.43 2.80 2.88
   13.83   40  0.55  15 13 73  2.43 2.80 2.88
    7.56    4  0.03  14 13 73  2.32 2.77 2.86
    8.85   30  0.26  17 14 70  2.32 2.77 2.86
   10.67    3  0.03  14 12 73  2.53 2.81 2.88
   99.44 1994 193.59  19 14 67  2.53 2.81 2.88
    0.00    0  0.00  13 12 75  2.53 2.81 2.88
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 75  2.73 2.85 2.89
    0.00    0  0.00  13 11 75  2.73 2.85 2.89
    0.00    0  0.00  13 11 75  2.67 2.83 2.88
  101.65 1943 192.88  19 13 68  2.67 2.83 2.88
   16.80    2  0.04  13 12 75  2.67 2.83 2.88
    0.00    0  0.00  13 12 75  2.78 2.85 2.89
    0.00    0  0.00  13 11 76  2.78 2.85 2.89
    0.00    0  0.00  14 12 74  2.79 2.85 2.89
  130.37 2124 270.37  20 15 65  2.79 2.85 2.89
   14.05   18  0.25  13 12 75  2.79 2.85 2.89
    0.00    0  0.00  13 11 76  2.65 2.82 2.88
   16.00    0  0.01  13 11 76  2.65 2.82 2.88
    0.00    0  0.00  13 11 76  2.60 2.81 2.87
  105.46 1869 192.53  18 13 70  2.60 2.81 2.87
    4.00    3  0.01  14 12 75  2.60 2.81 2.87
    0.00    0  0.00  13 11 76  2.47 2.78 2.86
    0.00    0  0.00  13 11 76  2.47 2.78 2.86
    0.00    0  0.00  13 12 75  2.35 2.75 2.85
  107.32 1836 192.42  17 12 70  2.35 2.75 2.85
    4.18   33  0.14  14 12 74  2.35 2.75 2.85
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  2.40 2.75 2.85
    4.00    1  0.01  13 11 76  2.40 2.75 2.85
    0.00    0  0.00  13 11 76  2.45 2.76 2.85
  165.55 1642 265.41  16 12 72  2.45 2.76 2.85
   10.34  488  4.93  15 12 73  2.45 2.76 2.85
    0.00    0  0.00  13 11 76  2.41 2.74 2.85
   16.00    0  0.01  13 12 75  2.41 2.74 2.85
    6.00    4  0.02  13 11 76  2.46 2.75 2.85
  129.90 1240 157.31  15 12 73  2.46 2.75 2.85
   56.98  627 34.91  16 12 71  2.46 2.75 2.85
    0.00    0  0.00  13 11 76  2.34 2.72 2.84
    0.00    0  0.00  13 11 76  2.34 2.72 2.84
    0.00    0  0.00  13 11 76  2.72 2.79 2.86
  137.73  700 94.18  15 12 74  2.72 2.79 2.86
   86.14 1167 98.16  17 13 70  2.72 2.79 2.86
    0.00    0  0.00  13 11 76  2.58 2.76 2.85
    0.00    0  0.00  13 11 76  2.58 2.76 2.85
    0.00    0  0.00  13 11 76  2.53 2.75 2.84
  228.84  520 116.22  14 12 75  2.53 2.75 2.84
   97.68 1611 153.65  18 13 69  2.53 2.75 2.84
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 11 76  2.41 2.72 2.83
   16.00    0  0.01  13 12 76  2.41 2.72 2.83
    4.00    3  0.01  13 11 76  2.30 2.69 2.82
    0.00    0  0.00  13 11 76  2.30 2.69 2.82
   86.41 2303 194.35  23 17 60  2.30 2.69 2.82
    4.00    8  0.03  18 16 67  2.35 2.69 2.82
    4.00    3  0.01  18 15 67  2.35 2.69 2.82
    4.00    0  0.00  18 16 66  2.40 2.70 2.82
    9.68    9  0.09  14 12 74  2.40 2.70 2.82
  105.35 1872 192.57  19 13 68  2.40 2.70 2.82
    0.00    0  0.00  13 11 76  2.37 2.69 2.82
    4.00   13  0.05  13 11 76  2.37 2.69 2.82
    4.00    0  0.00  13 11 76  2.50 2.71 2.83
  275.67  289 77.68  13 12 76  2.50 2.71 2.83
  104.68 1886 192.78  18 13 69  2.50 2.71 2.83
    0.00    0  0.00  13 11 76  2.46 2.70 2.82
   11.56    9  0.10  14 12 75  2.46 2.70 2.82
    0.00    0  0.00  13 11 76  2.34 2.67 2.81
    0.00    0  0.00  13 11 76  2.34 2.67 2.81
  105.36 1868 192.21  18 13 68  2.34 2.67 2.81
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  14 11 75  2.24 2.64 2.80
    0.00    0  0.00  13 11 76  2.24 2.64 2.80
    0.00    0  0.00  13 11 76  2.14 2.61 2.79
    0.00    0  0.00  13 11 75  2.14 2.61 2.79
  105.60 1867 192.56  18 13 68  2.14 2.61 2.79
    4.00    3  0.01  13 11 75  2.29 2.64 2.80
    0.00    0  0.00  13 11 76  2.29 2.64 2.80
    0.00    0  0.00  13 11 76  2.42 2.66 2.80
  334.58  237 77.58  13 12 76  2.42 2.66 2.80
  104.83 1879 192.35  18 13 69  2.42 2.66 2.80
    4.00    2  0.01  14 12 75  3.11 2.80 2.85
   16.00    0  0.01  13 11 76  3.11 2.80 2.85
    6.67    3  0.02  13 11 75  3.02 2.78 2.84
    0.00    0  0.00  13 11 76  3.02 2.78 2.84
  110.32 1665 179.35  17 12 71  3.02 2.78 2.84
   64.80  209 13.22  14 12 73  3.10 2.80 2.85
    0.00    0  0.00  13 11 76  3.10 2.80 2.85
    0.00    0  0.00  13 11 76  2.85 2.76 2.83
    0.00    0  0.00  13 11 76  2.85 2.76 2.83
   80.36 1248 97.95  16 12 72  2.85 2.76 2.83
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  155.55  623 94.61  15 12 73  2.78 2.74 2.83
    0.00    0  0.00  13 11 75  2.78 2.74 2.83
    4.00    0  0.00  13 11 76  2.88 2.76 2.84
  310.53  256 77.62  13 12 75  2.88 2.76 2.84
  102.29  958 95.74  17 13 70  2.88 2.76 2.84
  104.43  953 97.22  20 15 66  2.73 2.73 2.82
   16.00    0  0.01  16 13 71  2.73 2.73 2.82
    0.00    0  0.00  14 12 75  2.51 2.69 2.81
    0.00    0  0.00  18 13 69  2.51 2.69 2.81
  153.37  606 90.74  16 13 72  2.51 2.69 2.81
   82.53 1263 101.81  17 13 70  2.39 2.66 2.80
    0.00    0  0.00  13 11 76  2.39 2.66 2.80
    4.00    0  0.00  14 11 75  2.68 2.72 2.82
    8.92    6  0.06  21 13 66  2.68 2.72 2.82
   16.00    0  0.01  33 14 53  2.68 2.72 2.82
  105.12 1876 192.60  43 17 40  2.86 2.75 2.83
    0.00    0  0.00  17 12 71  2.86 2.75 2.83
    0.00    0  0.00  18 13 69  3.27 2.84 2.86
  320.63  248 77.79  18 13 69  3.27 2.84 2.86
   16.12   17  0.27  14 12 74  3.27 2.84 2.86
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  104.75 1883 192.64  19 14 67  3.09 2.81 2.85
   16.00    0  0.01  18 13 69  3.09 2.81 2.85
