              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    4.00    0  0.00  12 14 74  2.78 2.91 2.82
   16.67    3  0.05  12 14 73  2.78 2.91 2.82
  105.37 1872 192.58  15 15 70  2.96 2.95 2.83
    5.60    5  0.03  12 15 73  2.96 2.95 2.83
   12.80    2  0.03  12 15 73  2.96 2.95 2.83
    0.00    0  0.00  12 15 73  2.88 2.93 2.83
    0.00    0  0.00  12 15 73  2.88 2.93 2.83
  105.25 1873 192.53  15 15 70  2.81 2.91 2.82
    6.72  118  0.78  12 15 73  2.81 2.91 2.82
    0.00    0  0.00  12 15 73  2.81 2.91 2.82
    0.00    0  0.00  12 15 73  2.75 2.90 2.82
    8.00    1  0.01  12 15 73  2.75 2.90 2.82
  105.50 1869 192.51  15 15 69  2.85 2.92 2.82
    0.00    0  0.00  12 15 73  2.85 2.92 2.82
    0.00    0  0.00  12 15 73  2.85 2.92 2.82
    0.00    0  0.00  12 15 73  2.78 2.90 2.82
   16.93  311  5.15  12 15 73  2.78 2.90 2.82
  105.48 1869 192.50  16 15 69  2.80 2.90 2.82
   10.15    6  0.06  13 15 73  2.80 2.90 2.82
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   15.21  140  2.08  13 15 72  2.80 2.90 2.82
   40.00    1  0.04  12 14 74  2.57 2.85 2.80
    0.00    0  0.00  12 14 73  2.57 2.85 2.80
  109.30 1799 192.04  17 15 68  2.69 2.87 2.81
    8.10  242  1.91  13 15 71  2.69 2.87 2.81
    0.00    0  0.00  12 14 74  2.69 2.87 2.81
    0.00    0  0.00  12 14 74  2.63 2.86 2.80
   39.20    2  0.10  12 14 73  2.63 2.86 2.80
  109.08 1797 191.44  15 15 70  2.58 2.84 2.80
   12.33   86  1.03  12 15 73  2.58 2.84 2.80
    7.90   58  0.45  12 15 73  2.58 2.84 2.80
   23.51   77  1.78  12 15 73  2.53 2.83 2.79
   15.86   28  0.43  13 14 73  2.53 2.83 2.79
  135.55 1429 189.17  14 15 71  2.41 2.80 2.78
    7.88  454  3.49  13 15 72  2.41 2.80 2.78
   11.33    3  0.03  12 15 73  2.41 2.80 2.78
   16.00    8  0.12  11 14 74  2.38 2.78 2.78
   16.00    1  0.02  12 15 74  2.38 2.78 2.78
   90.87 1079 95.74  14 15 71  2.35 2.77 2.77
  106.51  939 97.71  13 15 71  2.35 2.77 2.77
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  12 15 73  2.48 2.79 2.78
    0.00    0  0.00  12 14 74  2.48 2.79 2.78
    8.00    1  0.01  11 14 75  2.48 2.79 2.78
  126.06  770 94.77  13 14 73  2.44 2.78 2.78
   90.75 1104 97.82  14 15 71  2.44 2.78 2.78
    0.00    0  0.00  12 14 74  2.81 2.85 2.80
    0.00    0  0.00  12 14 74  2.81 2.85 2.80
    0.00    0  0.00  11 14 74  2.81 2.85 2.80
  186.43  377 68.71  12 15 73  2.90 2.87 2.81
   84.84 1492 123.62  15 15 71  2.90 2.87 2.81
   29.60    2  0.07  12 15 74  2.99 2.89 2.81
    0.00    0  0.00  12 14 74  2.99 2.89 2.81
   10.00    2  0.02  11 14 75  2.99 2.89 2.81
   69.25  141  9.53  12 14 74  2.91 2.87 2.81
   98.42 2016 193.78  13 14 73  2.91 2.87 2.81
   25.20    5  0.12  11 14 75  3.00 2.89 2.82
    0.00    0  0.00  13 15 73  3.00 2.89 2.82
    8.00    1  0.01  12 15 74  3.00 2.89 2.82
    0.00    0  0.00  11 14 74  3.16 2.92 2.83
  104.59 1887 192.73  16 15 68  3.16 2.92 2.83
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   25.33    1  0.04  12 15 73  2.98 2.89 2.82
    0.00    0  0.00  11 15 74  2.98 2.89 2.82
    0.00    0  0.00  12 15 73  2.98 2.89 2.82
    4.00    1  0.00  12 15 73  3.22 2.94 2.84
  105.28 1873 192.61  15 15 70  3.22 2.94 2.84
   11.50    4  0.04  12 15 73  3.21 2.94 2.84
    0.00    0  0.00  12 15 74  3.21 2.94 2.84
    0.00    0  0.00  12 15 74  3.21 2.94 2.84
    0.00    0  0.00  12 15 73  3.19 2.94 2.84
   99.00 2001 193.49  16 15 69  3.19 2.94 2.84
   14.00    4  0.05  11 15 74  3.01 2.91 2.83
   16.00    1  0.02  12 15 73  3.01 2.91 2.83
   16.00    1  0.02  12 15 73  3.01 2.91 2.83
    0.00    0  0.00  12 15 73  3.01 2.91 2.83
   98.93 2008 193.95  15 15 69  3.01 2.91 2.83
   22.00    8  0.17  12 15 73  3.41 3.00 2.86
   14.44   20  0.29  12 14 74  3.41 3.00 2.86
   14.00    4  0.05  12 14 74  3.41 3.00 2.86
   16.00    0  0.01  12 15 73  3.38 3.00 2.86
  105.60 1863 192.14  17 15 69  3.38 3.00 2.86
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.00    4  0.03  11 15 74  3.35 3.00 2.86
    0.00    0  0.00  10 14 76  3.35 3.00 2.86
    0.00    0  0.00  10 14 76  3.35 3.00 2.86
   22.70   64  1.43  11 14 74  3.40 3.01 2.86
   79.32 1548 119.89  14 15 70  3.40 3.01 2.86
  163.43  465 74.28  13 15 72  3.37 3.01 2.86
  192.00    0  0.09  12 15 73  3.37 3.01 2.86
   28.00    1  0.04  12 15 72  3.37 3.01 2.86
    7.20    2  0.02  11 14 74  3.26 3.00 2.86
  138.06  699 94.30  13 15 72  3.26 3.00 2.86
   85.75 1170 97.98  14 15 71  3.24 3.00 2.86
   16.00    0  0.01  12 15 73  3.24 3.00 2.86
    0.00    0  0.00  13 15 72  3.24 3.00 2.86
    0.00    0  0.00  12 15 73  3.22 3.00 2.86
  102.40  391 39.08  13 15 72  3.22 3.00 2.86
  106.08 1481 153.45  15 15 69  3.20 3.00 2.86
    0.00    0  0.00  12 15 74  3.20 3.00 2.86
    0.00    0  0.00  11 15 74  3.20 3.00 2.86
    0.00    0  0.00  11 15 74  3.26 3.01 2.87
    8.43  120  0.99  12 15 73  3.26 3.01 2.87
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  104.71 1886 192.81  15 15 69  3.08 2.98 2.86
    0.00    0  0.00  12 14 74  3.08 2.98 2.86
   16.00    0  0.01  12 15 73  3.08 2.98 2.86
    0.00    0  0.00  13 14 73  3.08 2.98 2.86
   12.00    1  0.02  12 14 74  3.08 2.98 2.86
  105.44 1870 192.53  16 15 68  3.15 3.00 2.86
    0.00    0  0.00  11 14 74  3.15 3.00 2.86
    0.00    0  0.00  12 15 73  3.15 3.00 2.86
   14.63   19  0.27  13 14 72  3.14 3.00 2.86
    0.00    0  0.00  12 14 74  3.14 3.00 2.86
  104.55 1890 192.98  17 16 67  3.05 2.98 2.86
   17.62   18  0.32  12 15 73  3.05 2.98 2.86
    8.00    1  0.01  13 16 71  3.05 2.98 2.86
   16.00    4  0.07  13 14 73  3.20 3.01 2.87
    8.03  149  1.17  12 14 74  3.20 3.01 2.87
  105.28 1869 192.18  18 16 66  3.02 2.98 2.86
   12.21    9  0.11  13 15 73  3.02 2.98 2.86
   23.64    5  0.13  13 15 72  3.02 2.98 2.86
   14.15    6  0.09  13 14 73  2.86 2.94 2.85
    0.00    0  0.00  12 15 73  2.86 2.94 2.85
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  105.68 1866 192.55  15 14 71  3.19 3.01 2.87
    7.00    4  0.03  12 15 73  3.19 3.01 2.87
   16.14   14  0.22  12 14 74  3.19 3.01 2.87
    0.00    0  0.00  12 14 73  3.34 3.04 2.88
    0.00    0  0.00  13 16 72  3.34 3.04 2.88
  114.32 1697 189.42  16 14 70  3.15 3.01 2.87
   19.17  202  3.79  13 15 72  3.15 3.01 2.87
    8.00    1  0.01  12 14 74  3.15 3.01 2.87
    0.00    0  0.00  12 14 74  3.06 2.99 2.87
    6.21  121  0.73  12 15 73  3.06 2.99 2.87
   90.27 1104 97.37  14 14 72  3.13 3.01 2.87
  122.11  802 95.68  13 15 71  3.13 3.01 2.87
   15.02   20  0.30  12 15 73  3.13 3.01 2.87
    5.60    5  0.03  12 14 74  3.12 3.01 2.87
    0.00    0  0.00  12 14 74  3.12 3.01 2.87
   92.67 1075 97.26  15 16 69  3.27 3.04 2.89
  104.72  937 95.85  13 15 72  3.27 3.04 2.89
    5.43   28  0.15  12 15 73  3.27 3.04 2.89
    4.00    0  0.00  12 14 74  3.33 3.06 2.89
   14.80    5  0.07  12 15 73  3.33 3.06 2.89
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  125.76  770 94.57  13 15 72  3.22 3.04 2.89
   90.87 1102 97.81  14 15 70  3.22 3.04 2.89
    4.00    2  0.01  13 15 71  3.22 3.04 2.89
   13.33    1  0.02  11 14 74  3.05 3.01 2.88
    8.36  191  1.56  13 14 73  3.05 3.01 2.88
  208.08  306 62.21  14 15 72  3.12 3.02 2.88
   84.62 1577 130.30  17 16 67  3.12 3.02 2.88
   18.00    1  0.02  12 14 74  3.12 3.02 2.88
    0.00    0  0.00  12 14 74  3.11 3.02 2.88
    0.00    0  0.00  12 14 74  3.11 3.02 2.88
    0.00    0  0.00  12 14 74  2.86 2.97 2.87
  104.57 1885 192.44  16 15 69  2.86 2.97 2.87
   25.33    1  0.04  12 14 74  2.86 2.97 2.87
   15.93   55  0.86  12 14 74  2.71 2.94 2.85
   16.00    1  0.02  13 14 73  2.71 2.94 2.85
   17.00    4  0.07  12 13 75  2.58 2.91 2.84
  125.09 1571 191.91  15 14 71  2.58 2.91 2.84
    4.04  317  1.25  13 14 73  2.58 2.91 2.84
    0.00    0  0.00  12 14 74  2.53 2.89 2.84
    5.88  137  0.79  12 14 74  2.53 2.89 2.84
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  12 14 75  2.41 2.86 2.83
   83.53 1198 97.74  15 14 72  2.41 2.86 2.83
  144.54  672 94.83  13 15 72  2.41 2.86 2.83
    0.00    0  0.00  12 14 74  2.77 2.93 2.85
    0.00    0  0.00  12 14 75  2.77 2.93 2.85
    0.00    0  0.00  12 14 74  2.63 2.90 2.84
   90.62 1085 95.99  14 14 72  2.63 2.90 2.84
  114.38  876 97.88  14 15 71  2.63 2.90 2.84
   16.00    0  0.01  12 13 75  2.82 2.93 2.85
    0.00    0  0.00  12 13 75  2.82 2.93 2.85
   16.00    0  0.01  12 14 74  2.84 2.93 2.85
   89.96  460 40.38  13 14 73  2.84 2.93 2.85
  110.53 1410 152.16  16 14 70  2.84 2.93 2.85
    0.00    0  0.00  12 14 74  2.77 2.92 2.85
    7.85  165  1.27  12 14 74  2.77 2.92 2.85
    0.00    0  0.00  12 14 74  2.79 2.92 2.85
    0.00    0  0.00  13 14 73  2.79 2.92 2.85
  105.42 1871 192.61  16 15 69  2.79 2.92 2.85
    8.00    2  0.02  12 13 75  2.88 2.93 2.85
    4.00    0  0.00  13 14 74  2.88 2.93 2.85
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  12 14 75  3.13 2.98 2.87
    8.00    0  0.00  12 14 74  3.13 2.98 2.87
  105.42 1871 192.58  17 15 68  3.13 2.98 2.87
    0.00    0  0.00  13 14 74  3.36 3.03 2.89
    0.00    0  0.00  12 14 74  3.36 3.03 2.89
   16.00    0  0.01  13 14 74  3.17 3.00 2.88
   13.85   32  0.44  11 13 75  3.17 3.00 2.88
  104.90 1880 192.57  16 13 71  3.17 3.00 2.88
    0.00    0  0.00  11 13 76  3.16 3.00 2.88
    8.00  169  1.32  11 13 76  3.16 3.00 2.88
    0.00    0  0.00  11 12 77  3.15 3.00 2.88
    6.35  416  2.58  14 16 70  3.15 3.00 2.88
  102.85 1920 192.81  19 17 64  3.15 3.00 2.88
    0.00    0  0.00  11 12 77  3.05 2.98 2.87
   26.00    2  0.05  11 13 77  3.05 2.98 2.87
    0.00    0  0.00  11 12 77  3.05 2.98 2.88
    0.00    0  0.00  11 12 78  3.05 2.98 2.88
  105.47 1866 192.22  15 13 72  3.05 2.98 2.88
    0.00    0  0.00  11 12 77  3.12 3.00 2.88
   16.00    0  0.01  11 12 77  3.12 3.00 2.88
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  12 13 75  3.52 3.08 2.91
   19.86 1077 20.88  22 18 59  3.52 3.08 2.91
  100.92 1955 192.63  18 16 67  3.52 3.08 2.91
    8.17   11  0.09  14 15 71  3.39 3.06 2.91
   12.27  224  2.69  15 16 70  3.39 3.06 2.91
    5.91   85  0.49  16 15 68  3.52 3.10 2.92
   15.85   94  1.46  14 14 71  3.52 3.10 2.92
  111.51 1742 189.71  17 15 68  3.52 3.10 2.92
   21.03  145  2.98  14 15 71  3.40 3.08 2.91
   10.67    3  0.03  14 14 72  3.40 3.08 2.91
   25.21  226  5.58  17 15 67  3.29 3.06 2.91
    0.00    0  0.00  14 14 72  3.29 3.06 2.91
  125.41 1212 148.38  15 15 70  3.29 3.06 2.91
   68.30  662 44.18  15 15 70  3.26 3.06 2.91
   16.00    2  0.04  14 14 72  3.26 3.06 2.91
    0.00    0  0.00  14 14 72  3.08 3.02 2.90
   12.00    1  0.01  14 15 71  3.08 3.02 2.90
   96.94 1025 97.05  15 14 71  3.08 3.02 2.90
  114.57  854 95.53  16 15 69  3.16 3.04 2.90
    8.18  143  1.15  13 15 72  3.16 3.04 2.90
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  14 14 73  3.06 3.02 2.90
    0.00    0  0.00  14 14 72  3.06 3.02 2.90
  122.24  795 94.89  16 15 70  3.06 3.02 2.90
   90.37 1109 97.85  16 15 69  3.06 3.02 2.90
    0.00    0  0.00  14 14 72  3.06 3.02 2.90
    0.00    0  0.00  14 14 72  2.97 3.01 2.89
    4.00    1  0.00  14 14 72  2.97 3.01 2.89
   76.53  503 37.57  14 15 71  2.97 3.01 2.89
  115.76 1368 154.62  16 14 70  3.13 3.04 2.90
   16.00    0  0.01  13 14 73  3.13 3.04 2.90
    0.00    0  0.00  13 14 73  3.20 3.05 2.91
    0.00    0  0.00  13 14 73  3.20 3.05 2.91
    0.00    0  0.00  14 14 72  3.20 3.05 2.91
  105.39 1871 192.58  17 15 69  3.35 3.09 2.92
    7.30  141  1.01  14 14 72  3.35 3.09 2.92
    6.67    4  0.03  14 14 72  3.16 3.05 2.91
    0.00    0  0.00  13 14 73  3.16 3.05 2.91
   10.00    1  0.01  13 14 72  3.16 3.05 2.91
  105.44 1870 192.52  17 15 68  3.31 3.08 2.92
    0.00    0  0.00  13 14 73  3.31 3.08 2.92
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  13 14 73  3.20 3.07 2.92
    0.00    0  0.00  15 15 71  3.20 3.07 2.92
    0.00    0  0.00  13 14 73  3.20 3.07 2.92
  105.50 1869 192.52  17 15 68  3.10 3.05 2.91
   34.22 1118 37.36  21 15 64  3.10 3.05 2.91
   26.76 1297 33.90  23 15 62  2.94 3.01 2.90
   29.61  203  5.88  26 14 60  2.94 3.01 2.90
   23.56   13  0.31  20 13 67  2.94 3.01 2.90
  104.28 1895 192.98  18 15 66  3.10 3.05 2.91
    7.44  179  1.30  16 14 70  3.10 3.05 2.91
   24.40    5  0.12  17 14 69  3.01 3.03 2.91
    0.00    0  0.00  17 14 68  3.01 3.03 2.91
   14.40    2  0.04  17 15 68  3.01 3.03 2.91
  105.43 1871 192.60  19 15 66  2.93 3.01 2.90
   15.64    5  0.08  15 15 70  2.93 3.01 2.90
    0.00    0  0.00  15 14 71  3.10 3.04 2.91
    0.00    0  0.00  15 14 70  3.10 3.04 2.91
   57.60    2  0.14  15 14 70  3.10 3.04 2.91
  119.55 1637 191.10  19 15 66  3.01 3.03 2.91
    4.52  246  1.09  15 15 70  3.01 3.03 2.91
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    0.00    0  0.00  15 15 70  3.17 3.06 2.92
    0.00    0  0.00  14 14 72  3.17 3.06 2.92
    0.00    0  0.00  14 14 72  3.17 3.06 2.92
   90.35 1087 95.92  20 14 66  3.31 3.09 2.93
  108.67  917 97.34  18 15 67  3.31 3.09 2.93
    0.00    0  0.00  15 14 71  3.05 3.04 2.92
   25.89   38  0.96  17 15 68  3.05 3.04 2.92
   19.44  310  5.88  11 13 75  3.05 3.04 2.92
  106.37 1074 111.59  12 13 75  2.96 3.02 2.91
  102.98  806 81.09  16 14 70  2.96 3.02 2.91
    0.00    0  0.00  14 14 72  2.89 3.00 2.90
   13.45   11  0.14  12 13 75  2.89 3.00 2.90
   15.82   11  0.17  13 13 73  2.89 3.00 2.90
  201.84  472 93.09  15 14 71  2.82 2.99 2.90
   72.07 1416 99.62  18 15 68  2.82 2.99 2.90
   31.16    9  0.29  13 13 74  2.83 2.99 2.90
    4.00    0  0.00  13 13 73  2.83 2.99 2.90
   16.00    0  0.01  13 13 73  2.83 2.99 2.90
  147.69  262 37.78  14 14 72  2.68 2.95 2.89
  110.55 1995 215.40  18 15 68  2.68 2.95 2.89
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   16.00   15  0.24  13 13 75  2.71 2.95 2.89
   16.00    3  0.05  14 14 72  2.71 2.95 2.89
   16.00   21  0.33  14 13 73  2.71 2.95 2.89
   16.00    0  0.01  13 13 73  2.89 2.99 2.90
  105.26 1870 192.25  17 14 69  2.89 2.99 2.90
    0.00    0  0.00  13 13 74  2.82 2.97 2.90
    4.00    0  0.00  13 12 75  2.82 2.97 2.90
    0.00    0  0.00  12 12 75  2.82 2.97 2.90
    0.00    0  0.00  13 13 73  2.99 3.00 2.91
  105.23 1874 192.56  17 14 69  2.99 3.00 2.91
    0.00    0  0.00  12 12 75  3.07 3.02 2.91
    0.00    0  0.00  12 13 75  3.07 3.02 2.91
    0.00    0  0.00  13 14 73  3.07 3.02 2.91
    0.00    0  0.00  13 14 73  3.47 3.10 2.94
  126.71 2183 270.18  18 15 67  3.47 3.10 2.94
   16.00   15  0.24  13 12 75  3.43 3.10 2.94
    0.00    0  0.00  14 12 74  3.43 3.10 2.94
   10.00    1  0.01  13 13 74  3.43 3.10 2.94
    0.00    0  0.00  13 12 75  3.40 3.10 2.94
  105.37 1871 192.57  17 13 70  3.40 3.10 2.94
              disk0       cpu    load average
